l_0,"RESORTE 1", l_0, "RESORTE 2"
F = mg(N), Δx = l_f - l_0 (N), F = mg (N), Δx = l_f - l_0 (N)
0.5,2.0,0.5,4.5
1.0,4.1,1.0,9.0
1.5,6.2,1.5,13.6
2.0,8.3,2.0,18.1
2.5,10.4,2.5,22.8
